가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,menu2,price2,menu3,price3,menu4,price4
소점,0.294,0.205,0.142,0.019,0.076,0.066,0.115,0.045,0.038,169814418,서울 마포구 성미산로17길 99,0507-1435-7739,히로시마 스타일,"16,000원",오사카 스타일,"16,000원",모단야키,"17,000원",돈페이야키,"16,000원"
틈새라면 신촌점,0.315,0.145,0.08,0.04,0.031,0.145,0.04,0.009,0.196,3850639,서울 서대문구 연세로4길 6,070-8704-5777,빨계떡,"4,500원",빨만두,"5,000원",빨부대,"5,000원",계떡,"4,500원"
강정배스시,0.348,0.137,0.039,0.074,0.11,0.125,0.039,0.015,0.113,3827487,서울 마포구 성지길 9 무림빌딩,02-6203-7925,VIP초밥(13 pcs)(서비스: 새우튀김+우동),"20,000원",강정베스시(12 pcs)(서비스: 새우튀김+우동),"15,000원",참치초밥(10 pcs)(서비스: 새우튀김+우동),"16,000원",광어초밥(10 pcs)(서비스: 새우튀김+우동),"18,000원"
보승회관 합정점,0.348,0.132,0.05,0.085,0.069,0.07,0.091,0,0.155,199009437,서울 마포구 양화로 73-1,02-324-8100,순대 항정수육 정식,"14,000원",순대국밥,"9,000원",수육국밥,"9,000원",내장국밥,"9,000원"
하롱반미,0.292,0.156,0.087,0.05,0.183,0.071,0.028,0.016,0.118,104451536,서울 마포구 월드컵로3길 14 1층 102호,0507-1413-0420,소고기반미,"8,500원",포크반미,"7,900원",치킨반미,"7,500원",새우반미,"7,900원"
신스티엔디,0.36,0.08,0.09,0.02,0.095,0.06,0.065,0.02,0.21,134153976,서울 마포구 월드컵로1길 14,,,,,,,,,
디어리스트 연남,0.259,0.217,0.136,0.103,0.076,0.029,0.023,0.157,0,175944137,서울 마포구 동교로27길 21-8 1층,0507-1333-6861,시그니처 살치살 스테이크,"38,000원",통 베이컨 구이&메이플 시럽,"14,000원",슈림프 알리오 올리오,"18,000원",토마토 페퍼로니 스파게티,"18,000원"
신김치생삼겹살,0.553,0.216,0.024,0.027,0.071,0.071,0.039,0,0,2088708,서울 마포구 양화로 50,02-6405-8690,삼겹살,"16,000원",목살,"16,000원",항정살,"19,000원",물냉면,"6,000원"
로쏘 1924 나폴리 화덕피자 홍대점,0.28,0.088,0.104,0.108,0.178,0.124,0,0.066,0.052,101747488,서울 마포구 홍익로 29 1층 로쏘 1924 나폴리 화덕피자,0507-1332-1924,,,,,,,,
윤씨밀방,0.367,0.083,0.122,0,0.054,0.164,0.146,0.031,0.032,1334119,서울 마포구 와우산로15길 15,02-3143-4116,윤씨함박스테이크정식,"10,500원",터키풍함박스테이크와계란볶음밥,"12,500원",텍스-멕스 볼케이노와 소보로 덮밥,"12,500원",함박존슨탕,"11,500원"
감성바베큐,0.401,0.07,0.124,0.099,0,0.074,0.074,0.157,0,134400652,서울 마포구 월드컵로3길 14 지하1층,02-337-8788,감성바베큐플래터(2인),"37,800원",감성립플래터(2인),"45,800원",감성바베큐플래터(4인),"72,800원",감성립플래터(4인),"89,500원"
슬로우,0.25,0.2,0.061,0.107,0.099,0,0.055,0.228,0,156374937,"서울 마포구 동교로46길 25 2, 3층 Slow",0507-1379-0433,Columbus,"19,000원",Howl's Meal,"12,000원",Gambas,"20,000원",Meal,변동
독타운피자,0.351,0.191,0.074,0.089,0.072,0.054,0.033,0.135,0,118884345,서울 마포구 양화로6길 48 2층,070-4063-4076,하프앤하프 피자,"23,000원",쿼트로치즈 피자,"19,000원",살라미&페퍼로니 피자,"20,000원",,
미도인 홍대,0.317,0.154,0.099,0.089,0.069,0.068,0.064,0.107,0.034,143671822,서울 마포구 잔다리로2길 19 1층,02-336-5097,미도인 가정식 스테이크,"13,800원",미도인 스테이크 덮밥,"10,500원",400 스테이크 덮밥(한정메뉴),"15,200원",가정식 스테이크 구첩 반상(한정메뉴),"15,900원"
꽃피는고기,0.316,0.243,0.057,0.113,0.069,0.116,0.086,0,0,3840489,서울 마포구 와우산로13길 49-3 1층,0507-1496-1889,,,,,,,,
김사또상수본점,0.314,0.161,0.073,0.035,0.056,0.183,0.143,0.022,0.013,3709326,서울 마포구 와우산로 39,0507-1329-6362,우삼겹즉석떡볶이 2인,"16,000원",우삼겹즉석떡볶이 3인,"20,000원",치즈즉석떡볶이 2인,"13,000원",치즈즉석떡볶이 3인,"18,000원"
퍼프 오지코스트,0.267,0.206,0.092,0.097,0.132,0,0.059,0.147,0,139034919,서울 마포구 월드컵북로6길 81 2층,0507-1368-9646,문어 초리조 토마토 리조또,"25,000원",안심 양송이 크림 리조또,"23,000원",풀오지코스트,"20,000원",바나나 크림 프렌치 토스트,"18,000원"
신공주떡볶이,0.354,0.118,0.101,0.114,0.118,0.093,0.055,0.008,0.038,166006189,서울 마포구 포은로 39 1층,02-332-3373,떡볶이밀키트,"6,500원",떡꼬치,"5,000원",떡볶이,"4,500원",튀김순대,"5,000원"
삼첩분식 마포점,0.424,0.089,0.133,0.02,0.094,0.118,0.113,0,0.01,155145527,서울 마포구 성미산로 108 1층,070-7576-3870,[부산] 가래떡 떡볶이,"5,900원",[삼첩] 떡볶이,"8,900원",[로제] 떡볶이,"9,900원",[바질크림] 떡볶이,"9,900원"
짱주먹밥,0.307,0.105,0.029,0.016,0.062,0.183,0.18,0.02,0.098,3159237,서울 마포구 와우산로23길 9 칼리오페빌딩 123호,02-322-1213,주먹밥 메뉴,변동,VIP주먹밥,"4,200원",치즈주먹밥,"3,900원",제육VIP주먹밥,"4,900원"
카츠미 홍대본점,0.427,0.168,0.09,0.06,0.043,0.04,0.065,0,0.106,115611206,서울 마포구 어울마당로 51 2층 (서교동),02-338-8594,규카츠,"17,000원",스테키동,"15,000원",규카츠 카레동,"15,000원",규카츠 카레우동,"15,000원"
송린,0.281,0.186,0.066,0.131,0.172,0.057,0.052,0,0.055,125918359,서울 마포구 와우산로7길 3 1층 송린,0507-1337-3532,송린짬뽕,"9,000원",프리미엄송린짬뽕,"12,900원",송린짜장,"7,000원",송린덮밥,"12,000원"
난향,0.508,0.165,0.051,0.107,0.121,0.048,0,0,0,1310163,서울 서대문구 신촌로 67 거촌빌딩 지하 1층,02-322-6900,난 (런치코스),"33,000원",매향 (디너코스),"45,000원",향 (런치코스),"41,000원",죽향 (디너코스),"65,000원"
북촌손만두 합정점,0.38,0.138,0.042,0.026,0.049,0.147,0.044,0.002,0.172,2112069,서울 마포구 양화로6길 14 1층,02-335-4414,북촌피냉면,"7,000원",열무냉면,"7,500원",북촌만둣국,"7,000원",모둠만두,"13,000원"
채선당 샤브보트 합정딜라이트점,0.304,0.084,0.032,0.06,0.162,0.1,0.033,0,0.225,121721305,서울 마포구 월드컵로3길 14 딜라이트스퀘어 지하1층 B동 146호,02-332-8962,소고기샤브,"10,900원",소고기토마토샤브,"11,900원",소고기커리샤브,"11,900원",마라탕샤브,"11,900원"
카에루,0.479,0.165,0.24,0,0,0.066,0,0.05,0,3728638,서울 마포구 양화로1길 31 우진빌딩,02-325-5103,아나고 덴뿌라,"19,000원",2인 사시미,"41,000원",에비멘치,"20,000원",,
오마카세 스시미야비,0.28,0.179,0.065,0.127,0.153,0.049,0.033,0.114,0,136356130,서울 마포구 포은로2가길 62,0507-1462-2072,디너 오마카세,"130,000원",런치 오마카세,"70,000원",,,,
맛이차이나,0.454,0.136,0.091,0.092,0.117,0.061,0.049,0,0,3177747,서울 마포구 독막로 68,02-322-2653,A set,"30,000원",B set,"32,000원",C set,"55,000원",짜장면,"8,000원"
서담해물,0.229,0.198,0.108,0.108,0.229,0.059,0.042,0.028,0,106815510,서울 마포구 독막로15길 3-7 이현S 지1층,0507-1318-8744,해산물모듬,"34,000원",오늘의 숙성회,변동,병어회,"39,000원",뚝배기 전복해물라면,"16,000원"
상수동떡볶이,0.275,0.239,0.023,0.083,0.073,0.133,0.05,0,0.124,143056048,서울 마포구 와우산로3길 3 1층 상수동떡볶이,0507-1331-2588,떡튀순 SET(2~3인분),"15,000원",떡볶이(1인분),"4,000원",순대(1인분),"4,000원",어묵꼬치(1개),"1,000원"
온정,0.237,0.144,0.059,0.103,0.131,0.053,0.093,0.047,0.132,177379612,서울 마포구 동교로 262-10 1층 좌측,0507-1377-7038,연어 덮밥 (사케동),"14,000원",가라아게동,"11,000원",냉모밀,"10,900원",간장새우사케동,"16,000원"
합정조이떡볶이,0.385,0.174,0.016,0.02,0.034,0.174,0.098,0.003,0.095,174771144,서울 마포구 양화로 36 102호,02-2691-5480,떡볶이,"4,000원",순대,"5,000원",원조김밥,"4,000원",오징어튀김(1인분),"3,000원"
로쿠찬,0.227,0.121,0.167,0.091,0.197,0.045,0.03,0.045,0.076,137450650,서울 마포구 어울마당로1길 16 1층,0507-1328-1948,로쿠찬정식,"22,000원",솥밥정식,"29,000원",오마카세,"78,000원",아나고텐히야시소바,"18,000원"
쓰나미라멘 합정점,0.219,0.129,0.018,0.137,0.09,0.079,0.065,0.061,0.201,142122053,서울 마포구 독막로 34 1층,0507-1382-5828,단품)돈코츠,"9,500원",단품) 소유 돈코츠,"9,500원",단품) 시오 돈코츠,"9,500원",단품) 매운 돈코츠,"9,500원"
오모테나시 오마카세,0.264,0.202,0.119,0.047,0.166,0.093,0.062,0.047,0,3639164,서울 마포구 월드컵북로2길 82,02-324-1237,오마카세 1인,"75,000원",,,,,,
멘타카무쇼,0.278,0.128,0.142,0.049,0.055,0.04,0.144,0.015,0.149,108033068,서울 마포구 와우산로13길 49-10,0303-0123-4567,농후츠케멘,"9,500원",농후아지타마츠케멘,"10,500원",농후무쇼츠케멘,"13,000원",농후카라츠케멘,"10,000원"
연주방어페어,0.328,0.237,0.177,0.054,0.044,0,0,0.161,0,162399548,서울 마포구 동교로46길 13 반지층,010-7595-4026,[브런치]초당옥수수 프렌치토스트,"17,000원",[브런치11-4시]모짜 떡갈비 그라탕,"22,000원",[브런치] 브리오슈 프렌치 토스트,"13,000원",[브런치11-4] 더치베이비 팬케이크,"18,000원"
백채김치찌개 합정역점,0.367,0.129,0.025,0.031,0.088,0.141,0.182,0,0.038,176947598,서울 마포구 성지길 24,02-336-8258,김치찌개(1인),"9,000원",삼겹살(200g),"15,000원",항정살(180g),"16,000원",가브리살(180g),"16,000원"
버튼업 바 앤 키친,0.267,0.178,0.131,0.086,0.092,0.074,0.04,0.132,0,2059367,서울 마포구 토정로 53-9,0507-1307-1643,바다 파래 오일 파스타,"15,500원",함박 파스타,"12,500원",미트소스 토마토 파스,"11,000원",소등심 오일 파스타,"15,500원"
집밥김치찌개,0.261,0.201,0,0.081,0.063,0.096,0.144,0.09,0.063,135267402,서울 마포구 와우산로13길 25 1층,02-332-2866,돼지김치찌개(1인),"9,900원",돼지김치찌개(소2인분),"19,000원",돼지김치찌개(중3인분),"29,000원",돼지김치찌개(대4인분),"38,000원"
야키토리 나루토 오모테나시,0.28,0.232,0.149,0.106,0.091,0.073,0,0.069,0,116326157,서울 마포구 독막로5길 17 1층 나루토 오모테나시,02-336-6835,나루토 오모테나시 C코스,"31,800원",나루토 오모테나시 B코스,"26,800원",나루토 오모테나시 A코스,"21,800원",,
무슈,0.353,0.1,0.08,0.087,0.06,0.047,0.107,0.113,0.053,18435831,서울 마포구 동교로17길 28 온세빌딩,0507-1415-2295,야채떡볶이(2인),"14,500원",야채떡볶이(3인),"18,500원",차돌떡볶이(2인),"18,500원",차돌떡볶이(3인),"22,500원"
베이스캠프 홍대본점,0.43,0.12,0.13,0,0.05,0,0.06,0.21,0,3754223,서울 마포구 잔다리로3안길 21,02-323-2360,목살200g,"16,000원",삼겹살200g,"16,000원",LA갈비250g,"21,000원",매운껍데기,"9,000원"
까치네분식 당산역점,0.355,0.103,0.027,0.046,0.053,0.146,0.086,0,0.182,1315696,서울 영등포구 양평로 51,02-2679-2266,수제돈까스,"9,000원",비빔밥,"8,000원",오징어덮밥,"8,500원",제육덮밥,"8,500원"
니타로,0.327,0.163,0.061,0,0.122,0.061,0.102,0.061,0.102,3617764,서울 마포구 양화로3길 10 2층,0507-1355-2850,치즈돈가스,"11,500원",피자돈가스,"12,500원",니타로 기본돈가스,"9,500원",하와이언핫돈,"10,500원"
원조부안집 상수역점,0.279,0.176,0.081,0.103,0.139,0.133,0.066,0.022,0,126276657,서울 마포구 독막로 73-1,0507-1440-9757,육즙목살,"15,000원",쫀득살,"15,000원",숙성삼겹,"15,000원",항정꽃살,"15,000원"
둥둥막창구이,0.422,0.157,0.064,0.02,0.072,0.145,0.12,0,0,3726373,서울 마포구 월드컵로3길 27,010-3595-3199,돼지막창 200g,"14,000원",소막창 180g,"19,000원",돼지목살200g,"14,000원",곱창볶음,"11,000원"
다이닝늘 홍대점,0.345,0.164,0,0.091,0.109,0.055,0.073,0.164,0,184136664,서울 마포구 토정로 136-13 6층,0507-1379-9803,단품,"18,000~80,000",런치 세트,"35,000원",디너A코스,"75,000원",디너B코스,"95,000원"
얜씨네땡땡거리김밥집,0.292,0.111,0.035,0.013,0.071,0.159,0.124,0.013,0.181,151085304,서울 마포구 서강로11길 36-12 102호,02-3144-4820,,,,,,,,
오스테리아샘킴,0.273,0.184,0.151,0.094,0.135,0.018,0,0.145,0,99399080,서울 마포구 양화로3길 55,02-324-3338,흰살생선과 안초비 오일 파스타,"23,000원",소꼬리 라구 딸리아텔레,"23,000원",문어와 마늘종 스파게티니,"25,000원",프로슈토와 루꼴라 샐러드,"17,000원"
무라,0.333,0.147,0.086,0.071,0.058,0.101,0.06,0.008,0.137,1170731,서울 마포구 와우산로15길 49 1층 MURA,0507-1331-2589,,,,,,,,
드럼통 숯불구이 연남점,0.298,0.196,0.045,0.11,0.147,0.118,0.065,0,0.02,167636981,서울 마포구 월드컵북로 50 1층,02-336-7877,생삼겹살,"14,000원",생목살,"14,000원",돼지양념구이,"14,000원",우삼겹,"12,000원"
한성짬뽕,0.236,0.121,0.096,0.082,0.101,0.055,0.153,0.082,0.074,149660056,서울 마포구 와우산로 76 . 2층,0507-1397-5745,소고기짬뽕,"12,000원",자장면,"8,000원",미니탕수육,"14,000원",문어와친구들,"28,000원"
돈대박 김치삼겹살,0.283,0.246,0,0.094,0.13,0.152,0.065,0,0.029,124008125,서울 마포구 월드컵로1길 52 1층 돈대박 김치삼겹살,0507-1446-9285,도드람삼겹살,"15,000원",,,,,,
더피자보이즈 홍대입구역점,0.451,0.108,0.095,0.042,0.057,0.073,0.099,0.074,0,3841151,서울 마포구 와우산로29마길 24-1 1층,0507-1418-0801,"하프앤하프 Large 13""","28,000원","스페셜쿼터 4가지맛 Large 13""","30,000원","하프앤하프 Party 18""","38,000원","스페셜쿼터 4가지맛 Party 18""","40,000원"
긴기라기니,0.228,0.133,0.127,0.061,0.116,0.09,0.124,0.038,0.084,121933056,서울 마포구 희우정로 29 1층 우측호 (합정동),02-3142-9482,5CM 가츠동,"18,900원",2.5CM 가츠동,"12,900원",인생카레가츠동,"12,900원",니코미함박,"13,900원"
마라입구 합정메세나점,0.232,0.146,0.023,0.134,0.182,0.1,0.046,0.005,0.132,161955313,서울 마포구 양화로 45 메세나폴리스 지하1층 177호,0507-1384-6891,마라탕(100g/1900원),"1,900원",마라샹궈(100g/3200원),"3,200원",꿔바로우,"5,900원",볶음밥,"7,000원"
마포즉석모밀촌,0.367,0.042,0.035,0.016,0.072,0.154,0.232,0,0.082,3308545,서울 마포구 동교로 20 도마빌딩 1층 마포즉석모밀촌,0507-1388-3237,"메밀소바, 메밀막국수, 메밀잔치국수, 메밀비빔국수 각","8,000원",모밀 콩국수,"9,000원",찐만두,"8,000원",떡만두국,"8,000원"
프리모바치오바치 홍대본점,0.391,0.161,0.073,0.04,0.055,0.116,0.103,0.062,0,1170756,서울 마포구 와우산로23길 44,02-323-0098,빠네 파스타,"16,000원",고르곤졸라 피,"17,000원",할라피뇨 폴로,"12,000원",카프리제,"12,000원"
타테이와,0.347,0.184,0.143,0.122,0,0,0,0.204,0,187194172,서울 마포구 월드컵로3길 31-6 201호,0507-1390-6163,오늘의 사시미 2인,"40,000원",후또마끼,"20,000원",바질조개술찜,"25,000원",아구 가라아게,"18,000원"
만뽀스키우동 총본점,0.266,0.146,0.058,0.082,0.063,0.132,0.058,0.023,0.171,123382321,서울 마포구 독막로14길 4 1층,0507-1458-8990,스키야키정식(A세트),"11,900원",스키야키정식(B세트),"13,900원",스키야키우동정식(런치),"9,900원",냉소바정식,"10,900원"
당산김밥떡볶이,0.359,0.073,0.033,0.009,0.05,0.179,0.088,0,0.208,2140698,서울 영등포구 당산로48길 2,0507-1372-4202,생돼지고기 김치찌개(반찬별도),"8,500원",치킨 분식 콤보세트(2인분),"22,000원",매콤제육덮밥 도시락(반찬별도),"8,500원",소불고기상추김밥,"5,000원"
계담다,0.356,0.179,0.224,0.063,0,0.032,0.03,0.116,0,130176050,"서울 마포구 동교로38길 33-20 지1층, 1층",0507-1321-1881,계담닭,"28,000원",백김치,"15,000원",알리오담닭,"28,000원",크림담닭,"28,000원"
타케리아마차,0.241,0.17,0.143,0.129,0.107,0.049,0,0.134,0.027,149706111,서울 마포구 동교로 243 1층,070-8888-1858,까르니타스,"10,500원",아도바다,"11,000원",초리소,"9,800원",퀘사디아,"8,000원"
이양권반상,0.242,0.121,0.098,0.06,0.056,0.107,0.148,0.021,0.147,175222833,서울 마포구 와우산로29다길 10 이양권반상,0507-1436-4830,오레오 튀김,"4,900원",중국인 친구가 가르쳐준 볶음밥 + 제육볶음,"10,900원",파스타면없는 샐러드파스타 (면있음),"10,900원",마제소바가 되고 싶은 차돌숙주볶음면,"11,500원"
통통숯불고기 본점,0.333,0.182,0.091,0.048,0.055,0.188,0.103,0,0,1353944,서울 마포구 독막로 93 1층,02-325-6007,마블링삼겹살,"16,900원",마블링목살,"16,900원",생갈매기살,"16,900원",통통삼겹살,"11,900원"
북경,0.396,0.117,0.034,0.078,0.078,0.074,0.108,0,0.117,148954108,서울 마포구 양화로 56,02-323-1248,짜장면,"7,000원",불고추 짜장,"8,000원",계란 간짜장,"9,000원",삼선 간짜장,"12,000원"
티엔미미 홍대점,0.287,0.156,0.199,0.13,0.074,0,0,0.155,0,147775025,서울 마포구 양화로 144 4층(L),010-8823-1070,동북꿔바로우,"27,000원",티엔미미 철판볶음,"45,000원",어향완자가지,"39,000원",토마토탕면,"13,000원"
덕이손만두,0.437,0.128,0.076,0.048,0.141,0.074,0.078,0,0.017,3363654,서울 마포구 포은로 8 덕이손만두,02-363-7008,만두전골 소,"33,000원",중,"45,000원",대,"55,000원",만둣국,"13,000원"
연피랑,0.368,0.108,0.116,0.058,0.245,0,0,0.105,0,104023608,서울 마포구 동교로46길 3 2층,0507-1321-6966,고급 해산물 모듬 플래터,"89,000원",자연산 돌문어 숙회,"27,000원",통영 자연산 비단가리비찜,"25,000원",통영 자연산 참소라 숙회,"30,000원"
틸애프터,0.243,0.151,0.136,0.131,0.062,0.076,0,0.201,0,121606665,서울 마포구 양화로19길 22-30 1층,0507-1357-3340,단새우 들기름 파스타,"12,000원",차돌 들깻잎 파스타,"14,000원",트로피컬 훈연 삼겹 스테이크,"23,000원",파인애플 살사 & 뽈뽀,"14,000원"
슬로우타코,0.351,0.139,0.09,0.09,0.095,0.051,0.116,0.069,0,116718661,서울 마포구 독막로5길 33 1층 슬로우타코,0507-1326-7791,슬로우타코 플래터,"45,000원",대창 플래터,"49,000원",슬로우타코(곱창타코),"16,500원",치킨 엔칠라다,"33,000원"
당고집,0,0.288,0.419,0.132,0,0.04,0,0.121,0,1312242,서울 마포구 어울마당로3길 5 1층,070-7573-3164,벚꽃당고,"3,000원",간장당고,"2,100원",단팥당고,"2,100원",팥빙수(국산 수제팥),"11,000원"
사쿠라테이엔 합정점,0.301,0.158,0.202,0.145,0,0,0,0.193,0,124416550,서울 마포구 독막로7길 27 1층,0507-1420-0781,모듬 사시미(중),"50,000원",우설구이,"38,000원",곰새우 찜&라멘,"50,000원",수제모듬꼬치7종,"25,000원"
홍대라패 본점,0.328,0.12,0.08,0.04,0.048,0.136,0.08,0,0.168,3706049,서울 마포구 어울마당로 74 1층 홍대라패,02-334-8881,최양라면,"4,500원",Mr.존스라면,"6,500원",차씨라면,"7,000원",안씨라면,"4,500원"
제주정원,0.425,0.177,0.047,0.04,0.11,0.11,0.09,0,0,3618851,서울 마포구 동교로17길 8 제주정원,02-336-3392,,,,,,,,
레스토랑오브편,0.231,0.191,0.079,0.122,0.144,0.091,0.029,0.113,0,151220480,서울 마포구 동교로38길 33-18 202호,0507-1351-5972,프로포즈코스 (7코스) 1인,"160,000원",B코스 (6 코스) 1인,"130,000원",A코스(6 코스) 1인,"120,000원",프로포즈 예약,무료
김밥타운 신촌점,0.343,0.109,0.029,0.015,0.051,0.139,0.036,0,0.277,96886927,서울 마포구 서강로 115,02-335-6371,야채김밥,"2,500원",치즈김밥,"4,000원",김치김밥,"3,500원",참치김밥,"4,000원"
망원동즉석떡볶이,0.375,0.164,0.047,0.062,0.086,0.094,0.133,0.016,0.023,189557904,서울 마포구 포은로 34 합정한강아파트 1층 106호,0507-1361-3385,차돌박이 떡볶이(Couple),"17,000원",차돌박이 떡볶이(Family),"26,000원",짜장떡볶이(Couple),"16,000원",짜장떡볶이(Family),"25,000원"
제스티살룬 연남,0.376,0.111,0.143,0.076,0.088,0.013,0.036,0.112,0.044,190287435,서울 마포구 연희로 31 연남빌딩 지층,0507-1446-2622,Zesty Garlic Burger,"10,300원",Wasabi Shrimp Burger,"11,300원",Truffle Shirmp Buger,"12,800원",Teriyaki Mushroom,"10,300원"
후타츠 홍대점,0.214,0.183,0.053,0.158,0.072,0.041,0.061,0.076,0.142,118914229,서울 마포구 와우산로15길 28 1층,010-7173-1202,마제소바,"10,500원",아부라소바,"10,500원",마제소바(풀토핑),"13,000원",아부라소바(스팸토핑),"12,500원"
이품,0.476,0.131,0.057,0.054,0.114,0.072,0.052,0,0.044,1987743,서울 서대문구 연희로11길 20,02-322-6172,군만두,"8,500원",볶음밥,"9,000원",잡채밥,"11,000원",삼선간짜장,"10,500원"
좋은열매,0.448,0.181,0.038,0,0.062,0.071,0.052,0,0.148,2101690,서울 마포구 포은로2가길 65 B동,02-322-8818,돈가스,"10,000원",떡만두국,"7,000원",쫄면,"7,000원",,
홍마떡 홍대본점,0.375,0.13,0.113,0.065,0.058,0.09,0.113,0.023,0.033,3717936,서울 마포구 어울마당로 112-6 1층,0507-1416-1107,마늘떡볶이 R,"9,500원",마늘 떡볶이 L,"12,500원",마늘 면볶이,"10,500원",크림치즈김밥,"5,800원"
상수김치삼겹살,0.388,0.155,0.043,0,0.126,0.187,0.086,0.014,0,113437264,서울 마포구 독막로 76 1층 101호,0507-1430-0827,김치생삼겹살180g+된장찌개,"14,000원",백차돌박이160g+된장찌개,"16,000원",불쭈꾸미삼겹,"13,000원",김치전골,"15,000원"
경성양꼬치 합정점,0.519,0.128,0.064,0.045,0.115,0.096,0.032,0,0,3741419,서울 마포구 월드컵로1길 48,0507-1422-5780,양꼬치,"15,000원",양갈비살,"17,000원",마라양꼬치,"16,000원",마라양갈비,"17,000원"
연남족발1987,0.333,0.143,0.145,0.049,0.06,0.071,0.135,0.063,0,106862461,서울 마포구 동교로 222 1층,070-7760-1086,단품 족발,"38,000원",족발 한상,"42,000원",보쌈 한상,"38,000~42,000",슈프림 불족발 한상,"41,000~45,000"
츠키젠,0.326,0.123,0.111,0.097,0.123,0.025,0.037,0.054,0.105,117291003,서울 마포구 독막로8길 23 1층,0507-1362-1655,상로스카츠,"16,000원",샤톤브리앙,"14,500원",멘치카츠,"15,000원",로스카츠,"12,500원"
다락투,0.358,0.148,0.038,0.072,0.059,0.101,0.093,0,0.13,3120290,서울 마포구 와우산로21길 4-3,02-336-2918,닭곰탕(보통),"9,500원",닭곰탕(특),"10,000원",닭칼국수,"10,000원",공기밥,"1,000원"
모모,0.355,0.213,0.157,0.073,0,0.098,0,0.105,0,116554505,서울 마포구 동교로 242-6,0507-1369-9781,세이로무시中,"35,000원",모듬사시미中,"42,000원",밀푀유나베,"27,000원",오타루나베식 스키야키,"27,000원"
무채색,0.295,0.219,0.147,0.1,0,0.059,0,0.18,0,114613638,서울 마포구 동교로32길 19 3층,0507-1354-4046,수비드 삼겹 물수육,"24,000원",수비드 삼겹 오븐구이,"22,000원",수비드 삼겹 김치찜,"26,000원",봉골레오일파스타,"16,000원"
새벽숯불가든,0.47,0.181,0.093,0.033,0.126,0.041,0.056,0,0,3801608,서울 마포구 양화로1길 38 대운행복아파트,02-388-9589,오겹살/목살 (400g),"39,000원",오겹살/목살 (600g),"58,500원",된장찌개,"6,000원",고추장짜글이,"9,000원"
2층 위키드,0.333,0.215,0.055,0.1,0.082,0,0.215,0,0,3654378,서울 마포구 와우산로19길 26 2층,0507-1400-3899,순살(닭)-간장 M (2-3인용),"25,800원",순살(닭)-토마토 M (2-3인용),"26,800원",순살(닭)-크림 M (2-3인용),"28,800원",순살(닭)-로제 M (2-3인용),"33,800원"
꿀벌,0.321,0.188,0.12,0.103,0,0.168,0,0.1,0,126645716,서울 마포구 어울마당로 43 2층,0507-1386-8849,스키야키,"24,000원",오꼬노미야끼,"12,000원",메뉴판 이미지로보기 클릭해주세요,무료,,
23플래터,0.271,0.193,0.057,0.079,0.064,0.148,0.06,0.128,0,163780966,서울 마포구 잔다리로3안길 36 1층 23플래터,0507-1340-5417,주차는 전화문의,무료,23로제파스타,"13,900원",명란오일파스타,"12,900원",매콤크림파스타,"13,900원"
연남 칼국수,0.238,0.129,0.11,0.102,0.096,0.062,0.157,0.054,0.052,110862584,서울 마포구 연남로 19 대로변 1층 일부호(연남동),010-7999-9853,육개장 칼국수,"12,000원",바지락 칼국수,"11,000원",고기듬뿍 칼국수,"11,000원",칼간짜장,"10,000원"
장작집 연남본점,0.429,0.204,0.19,0.045,0,0.07,0,0.062,0,75076119,서울 마포구 월드컵북로6길 19 1층 장작집,010-3336-8844,누룽지 통닭,"21,000원",마라 로제 - 누룽지 통닭,"27,000원",토마토 커리 - 누룽지 통닭,"26,000원",치즈가득 - 누룽지 통닭,"26,000원"
만두란,0.367,0.131,0.146,0.043,0.096,0.097,0.024,0,0.096,144024897,서울 마포구 동교로 81,010-4678-3798,육즙 샤우롱바오,"8,000원",생생표고만두,"7,000원",새우야채딤섬(튀김만두),"7,000원",새콤달콤 꿔바러우,"15,000원"
잠두봉더나인,0.548,0.24,0.067,0,0,0.087,0,0.058,0,3846762,서울 마포구 마포나루길 582,010-7259-8876,한돈생삼겹살(200g)국내산,"17,000원",생목살(200g)국내산,"17,000원",소갈비살(150g)미국산,"17,000원",LA소갈비(250g)미국산,"17,000원"
미소국수,0.355,0.121,0.011,0.033,0.051,0.172,0.11,0,0.147,3626232,서울 마포구 동교로27길 41,02-326-5403,잔치국수,"7,000원",얼큰 부추 국수,"8,000원",비빔국수,"8,000원",왕만두,"9,000원"
극락,0.297,0.234,0.117,0.131,0,0,0,0.221,0,177951222,서울 마포구 잔다리로 5 4층,0507-1493-4016,짭짤마늘은행구이,"5,000원",극락닭껍질숙주볶음,"8,000원",극락명란구이,"8,000원",극락롤치즈통계란말이,"7,500원"
일렌토,0.286,0.224,0.061,0.122,0.122,0.122,0,0.041,0.02,3739282,서울 마포구 포은로 52-1 1층,02-326-1367,볼로네즈 파스타,"14,000원",이탈리안 카르보나라,"11,000원","바질페스토, 리코타치즈, 토마토파스타","12,000원",버섯 크림 파스타,"13,000원"
송가,0.352,0.141,0.203,0,0.109,0.078,0.047,0.039,0.031,1319175,서울 마포구 성미산로 197,02-338-6637,오향장육,"21,000원",유산슬,"27,000원",유린기,"17,000원",막창튀김,"17,000원"
